redni,vrijeme,zadatak,koncept,modul,tier,tezina,naslov,navigacija,reason_preporuke_koja_je_dovela,pokusaj_br,greska_studenta,opis_greske,verdikt,error_type,detail,xp_delta,xp_ukupno,level,streak,novi_bedzevi,preporuka_task,preporuka_koncept,preporuka_reason,trajanje_ms
1,2026-08-18T15:58:05.663Z,15,select_basic,1,easy,1,Naziv i zemlja porijekla dobavljača,nav „Zadatak“ → /next-task,,1,,,Točno,,,20,30,1,1,first_correct,16,select_basic,partial_continuation,197
2,2026-08-18T15:58:06.747Z,16,select_basic,1,easy,3,"Prikaz identifikatora, naziva i ocjene dobavljača",CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,90,1,1,,44,inner_join,weak_with_prereqs_met,199
3,2026-08-18T15:58:06.480Z,44,inner_join,3,medium,1,Ukupan broj proizvoda s dodijeljenom kategorijom,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,20,110,2,1,,39,cross_join,weak_with_prereqs_met,184
4,2026-08-18T15:58:07.634Z,39,cross_join,3,medium,2,Generiraj sve kombinacije kategorija i statusa narudžbi (CROSS JOIN),CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,krivi_limit,krivo procitan broj redaka u LIMIT-u,Djelomično,row_mismatch,Row count mismatch: actual=7 vs expected=5,20,130,2,1,,39,cross_join,weak_with_prereqs_met,248
5,2026-08-18T15:58:08.229Z,39,cross_join,3,medium,2,Generiraj sve kombinacije kategorija i statusa narudžbi (CROSS JOIN),CTA „Sljedeći zadatak“,weak_with_prereqs_met,2,,,Točno,,,30,160,2,1,,17,where_filter,partial_continuation,206
6,2026-08-18T15:58:09.343Z,17,where_filter,1,easy,1,Kupci iz Hrvatske,CTA „Sljedeći zadatak“,partial_continuation,1,krivi_literal,krivo napisan tekstualni literal,Netočno,empty_result,"Prazan rezultat, očekivano 3 redova",0,160,2,1,,15,select_basic,repeat_practice,219
7,2026-08-18T15:58:09.932Z,17,where_filter,1,easy,1,Kupci iz Hrvatske,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,15,175,2,1,,18,where_filter,partial_continuation,194
8,2026-08-18T15:58:11.009Z,18,where_filter,1,easy,2,Narudžbe u obradi s visokim iznosom,CTA „Sljedeći zadatak“,partial_continuation,1,krivi_literal,krivo napisan tekstualni literal,Netočno,empty_result,"Prazan rezultat, očekivano 5 redova",0,175,2,1,,18,where_filter,partial_continuation,201
9,2026-08-18T15:58:11.411Z,18,where_filter,1,easy,2,Narudžbe u obradi s visokim iznosom,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,30,205,3,1,,19,where_filter,partial_continuation,196
10,2026-08-18T15:58:12.628Z,19,where_filter,1,easy,3,Dostavljene narudžbe s visokim iznosom — WHERE ili HAVING?,CTA „Sljedeći zadatak“,partial_continuation,1,krivi_literal,krivo napisan tekstualni literal,Netočno,empty_result,"Prazan rezultat, očekivano 2 redova",0,205,3,1,,19,where_filter,partial_continuation,224
11,2026-08-18T15:58:13.037Z,19,where_filter,1,easy,3,Dostavljene narudžbe s visokim iznosom — WHERE ili HAVING?,CTA „Sljedeći zadatak“,partial_continuation,2,,,Točno,,,45,250,3,1,,68,update,weak_with_prereqs_met,217
12,2026-08-18T15:58:14.134Z,68,update,4,medium,2,Ažuriranje email adrese kupca s id = 1,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,40,290,3,1,,63,delete,weak_with_prereqs_met,224
13,2026-08-18T16:08:48.775Z,63,delete,4,medium,2,Brisanje jedne otkazane narudžbe po ID-u,nav „Zadatak“ → /next-task,weak_with_prereqs_met,1,,,Točno,,,40,330,4,1,,77,scalar_subquery,weak_with_prereqs_met,190
14,2026-08-18T16:08:54.974Z,77,scalar_subquery,5,hard,2,Broj narudžbi ispod maksimalnog iznosa,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,40,370,4,1,,1,null_handling,weak_with_prereqs_met,207
15,2026-08-18T16:09:00.990Z,1,null_handling,0,hard,1,COUNT(*) vs COUNT(kolone) — narudžbe bez zaposlenika,CTA „Sljedeći zadatak“,weak_with_prereqs_met,1,,,Točno,,,20,390,4,1,,10,limit_offset,partial_continuation,195
16,2026-08-18T16:09:05.553Z,10,limit_offset,1,easy,1,Prvih 3 kupca sortirano po ID-u,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,20,410,5,1,,5,distinct,partial_continuation,203
17,2026-08-18T16:09:11.612Z,5,distinct,1,easy,1,Različiti statusi narudžbi bez GROUP BY,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,20,430,5,1,,6,distinct,partial_continuation,192
18,2026-08-18T16:09:17.634Z,6,distinct,1,easy,3,DISTINCT na kombinaciji status–self_service u narudžbama,CTA „Sljedeći zadatak“,partial_continuation,1,,,Točno,,,60,490,5,1,,45,inner_join,partial_continuation,196
