id,vrijeme,koncept,modul,p_l,tocka_u_krivulji,attempt_id,zadatak,attempt_tocan,attempt_error_type,attempt_number
7649,2026-08-18 15:58:05.534366+00,select_basic,1,0.7283813747228381,1,492741,15,t,,1
7650,2026-08-18 15:58:05.534366+00,from_clause,1,0.7283813747228381,1,492741,15,t,,1
7651,2026-08-18 15:58:06.627273+00,select_basic,1,0.9355931439558954,2,492742,16,t,,1
7652,2026-08-18 15:58:06.627273+00,from_clause,1,0.9355931439558954,2,492742,16,t,,1
7653,2026-08-18 15:58:06.356492+00,inner_join,3,0.5540983606557377,1,492743,44,t,,1
7654,2026-08-18 15:58:07.477451+00,order_by,1,0.33060109289617484,1,492744,39,f,row_mismatch,1
7655,2026-08-18 15:58:07.477451+00,limit_offset,1,0.33060109289617484,1,492744,39,f,row_mismatch,1
7656,2026-08-18 15:58:07.477451+00,cross_join,3,0.10782608695652175,1,492744,39,f,row_mismatch,1
7657,2026-08-18 15:58:08.077129+00,order_by,1,0.7515500956133743,2,492745,39,t,,2
7658,2026-08-18 15:58:08.077129+00,limit_offset,1,0.7515500956133743,2,492745,39,t,,2
7659,2026-08-18 15:58:08.077129+00,cross_join,3,0.5560576923076923,2,492745,39,t,,2
7660,2026-08-18 15:58:09.223037+00,select_basic,1,0.7254333144876067,3,492746,17,f,empty_result,1
7661,2026-08-18 15:58:09.223037+00,from_clause,1,0.7254333144876067,3,492746,17,f,empty_result,1
7662,2026-08-18 15:58:09.223037+00,where_filter,1,0.33060109289617484,1,492746,17,f,empty_result,1
7663,2026-08-18 15:58:09.829299+00,select_basic,1,0.9347193779838919,4,492747,17,t,,2
7664,2026-08-18 15:58:09.829299+00,from_clause,1,0.9347193779838919,4,492747,17,t,,2
7665,2026-08-18 15:58:09.829299+00,where_filter,1,0.7515500956133743,2,492747,17,t,,2
7666,2026-08-18 15:58:10.884796+00,select_basic,1,0.7230250859161499,5,492748,18,f,empty_result,1
7667,2026-08-18 15:58:10.884796+00,where_filter,1,0.4707642625467737,3,492748,18,f,empty_result,1
7668,2026-08-18 15:58:10.884796+00,order_by,1,0.4707642625467737,3,492748,18,f,empty_result,1
7669,2026-08-18 15:58:11.285545+00,select_basic,1,0.9340021231993745,6,492749,18,t,,2
7670,2026-08-18 15:58:11.285545+00,where_filter,1,0.8361968884695011,4,492749,18,t,,2
7671,2026-08-18 15:58:11.285545+00,order_by,1,0.8361968884695011,4,492749,18,t,,2
7672,2026-08-18 15:58:12.505128+00,select_basic,1,0.7210651898466264,7,492750,19,f,empty_result,1
7673,2026-08-18 15:58:12.505128+00,where_filter,1,0.5467852353927621,5,492750,19,f,empty_result,1
7674,2026-08-18 15:58:12.505128+00,order_by,1,0.5467852353927621,5,492750,19,f,empty_result,1
7675,2026-08-18 15:58:12.892694+00,select_basic,1,0.9334160672551367,8,492751,19,t,,2
7676,2026-08-18 15:58:12.892694+00,where_filter,1,0.8713181071256494,6,492751,19,t,,2
7677,2026-08-18 15:58:12.892694+00,order_by,1,0.8713181071256494,6,492751,19,t,,2
7678,2026-08-18 15:58:14.008949+00,where_filter,1,0.9729913806182513,7,492752,68,t,,1
7679,2026-08-18 15:58:14.008949+00,update,4,0.5540983606557377,1,492752,68,t,,1
7680,2026-08-18 16:08:48.653427+00,where_filter,1,0.994759412074235,8,492753,63,t,,1
7681,2026-08-18 16:08:48.653427+00,delete,4,0.5540983606557377,1,492753,63,t,,1
7682,2026-08-18 16:08:54.85973+00,where_filter,1,0.9989993299635358,9,492754,77,t,,1
7683,2026-08-18 16:08:54.85973+00,scalar_subquery,5,0.5540983606557377,1,492754,77,t,,1
7684,2026-08-18 16:09:00.872412+00,select_basic,1,0.9866891275106325,9,492755,1,t,,1
7685,2026-08-18 16:09:00.872412+00,null_handling,0,0.5540983606557377,1,492755,1,t,,1
7686,2026-08-18 16:09:05.441072+00,select_basic,1,0.9974432560261244,10,492756,10,t,,1
7687,2026-08-18 16:09:05.441072+00,order_by,1,0.9729913806182513,7,492756,10,t,,1
7688,2026-08-18 16:09:05.441072+00,limit_offset,1,0.9423005864048358,3,492756,10,t,,1
7689,2026-08-18 16:09:11.508381+00,select_basic,1,0.9995127555933777,11,492757,5,t,,1
7690,2026-08-18 16:09:11.508381+00,order_by,1,0.994759412074235,8,492757,5,t,,1
7691,2026-08-18 16:09:11.508381+00,distinct,1,0.7283813747228381,1,492757,5,t,,1
7692,2026-08-18 16:09:17.523802+00,where_filter,1,0.9998095163413638,10,492758,6,t,,1
7693,2026-08-18 16:09:17.523802+00,order_by,1,0.9989993299635358,9,492758,6,t,,1
7694,2026-08-18 16:09:17.523802+00,distinct,1,0.9355931439558954,2,492758,6,t,,1
