id,vrijeme,delta,razlog,attempt_id,zadatak,attempt_tocan,xp_kumulativno,level,level_up
2777,2026-08-18 15:58:05.541392+00,20,attempt,492741,15,true,20,1,
2778,2026-08-18 15:58:05.541392+00,10,first_correct,,,,30,1,
2779,2026-08-18 15:58:06.635631+00,60,attempt,492742,16,true,90,1,
2780,2026-08-18 15:58:06.365406+00,20,attempt,492743,44,true,110,2,DA
2781,2026-08-18 15:58:07.485558+00,20,attempt,492744,39,false,130,2,
2782,2026-08-18 15:58:08.087998+00,30,attempt,492745,39,true,160,2,
2783,2026-08-18 15:58:09.835336+00,15,attempt,492747,17,true,175,2,
2784,2026-08-18 15:58:11.293174+00,30,attempt,492749,18,true,205,3,DA
2785,2026-08-18 15:58:12.902472+00,45,attempt,492751,19,true,250,3,
2786,2026-08-18 15:58:14.017727+00,40,attempt,492752,68,true,290,3,
2787,2026-08-18 16:08:48.661112+00,40,attempt,492753,63,true,330,4,DA
2788,2026-08-18 16:08:54.868151+00,40,attempt,492754,77,true,370,4,
2789,2026-08-18 16:09:00.880567+00,20,attempt,492755,1,true,390,4,
2790,2026-08-18 16:09:05.448479+00,20,attempt,492756,10,true,410,5,DA
2791,2026-08-18 16:09:11.515909+00,20,attempt,492757,5,true,430,5,
2792,2026-08-18 16:09:17.531994+00,60,attempt,492758,6,true,490,5,
2793,2026-08-18 16:09:23.587424+00,40,attempt,492759,45,true,530,6,DA
2794,2026-08-18 16:09:29.696031+00,40,attempt,492760,84,true,570,6,
2795,2026-08-18 16:09:41.202116+00,15,attempt,492762,30,true,585,6,
2796,2026-08-18 16:09:52.642461+00,45,attempt,492764,57,true,630,7,DA
2797,2026-08-18 16:09:58.730015+00,60,attempt,492765,51,true,690,7,
2798,2026-08-18 16:10:08.731701+00,30,attempt,492767,31,true,720,8,DA
2799,2026-08-18 16:28:26.801983+00,40,attempt,492769,11,true,760,8,
2800,2026-08-18 16:28:33.082412+00,45,attempt,492770,32,true,805,9,DA
2801,2026-08-18 17:44:54.764004+00,45,attempt,492772,33,true,850,9,
2802,2026-08-18 17:45:34.647712+00,30,attempt,492774,34,false,880,9,
2803,2026-08-18 17:45:53.427562+00,40,attempt,492775,34,true,920,10,DA
2804,2026-08-18 17:46:12.700521+00,60,attempt,492776,56,true,980,10,
2805,2026-08-18 17:46:31.902376+00,20,attempt,492777,35,false,1000,11,DA
2806,2026-08-18 17:46:56.373438+00,30,attempt,492778,35,true,1030,11,
2807,2026-08-18 17:47:15.631213+00,20,attempt,492779,24,true,1050,11,
2808,2026-08-18 17:47:34.876764+00,60,attempt,492780,36,true,1110,12,DA
2809,2026-08-18 17:48:14.58218+00,30,attempt,492782,27,true,1140,12,
2810,2026-08-18 17:49:13.110663+00,30,attempt,492785,28,true,1170,12,
2811,2026-08-18 17:49:32.339581+00,60,attempt,492786,12,true,1230,13,DA
2812,2026-08-18 17:49:51.540698+00,80,attempt,492787,29,true,1310,14,DA
2813,2026-08-18 17:50:12.677603+00,40,explorer,,,,1350,14,
2814,2026-08-18 17:50:35.348608+00,45,attempt,492789,3784,true,1395,14,
2815,2026-08-18 17:50:54.596685+00,40,attempt,492790,25,true,1435,15,DA
2816,2026-08-18 17:51:34.439345+00,45,attempt,492792,40,true,1480,15,
2817,2026-08-18 17:51:53.731601+00,40,attempt,492793,58,false,1520,16,DA
2818,2026-08-18 17:52:33.151271+00,40,attempt,492795,58,true,1560,16,
2819,2026-08-18 17:52:52.409687+00,100,attempt,492796,59,true,1660,17,DA
2820,2026-08-18 17:53:32.139566+00,30,attempt,492798,67,true,1690,17,
2821,2026-08-18 17:53:51.369654+00,60,attempt,492799,85,true,1750,18,DA
2822,2026-08-18 17:54:10.611829+00,30,attempt,492800,69,false,1780,18,
2823,2026-08-18 17:54:49.814465+00,30,attempt,492802,69,true,1810,19,DA
2824,2026-08-18 17:55:08.925932+00,60,attempt,492803,70,true,1870,19,
2825,2026-08-18 17:55:28.058911+00,60,attempt,492804,64,true,1930,20,DA
2826,2026-08-18 17:55:49.083593+00,60,attempt,492805,78,true,1990,20,
2827,2026-08-18 17:56:08.329334+00,40,attempt,492806,72,true,2030,21,DA
2828,2026-08-18 17:56:45.074804+00,80,attempt,492807,73,true,2110,22,DA
2829,2026-08-18 17:56:45.074804+00,25,null_ninja,,,,2135,22,
2830,2026-08-18 17:57:22.992424+00,30,attempt,492809,48,true,2165,22,
2831,2026-08-18 17:57:44.016205+00,40,attempt,492810,74,true,2205,23,DA
2832,2026-08-18 17:58:42.352787+00,30,attempt,492813,49,true,2235,23,
2833,2026-08-18 17:59:01.508677+00,80,attempt,492814,3785,true,2315,24,DA
2834,2026-08-18 17:59:39.583384+00,45,attempt,492816,81,true,2360,24,
2835,2026-08-18 18:00:19.347914+00,45,attempt,492818,3782,true,2405,25,DA
2836,2026-08-18 18:00:59.225086+00,60,attempt,492820,3783,true,2465,25,
2837,2026-08-18 18:01:18.425335+00,60,attempt,492821,2,true,2525,26,DA
2838,2026-08-18 18:01:18.425335+00,50,join_master,,,,2575,26,
2839,2026-08-18 18:01:37.801489+00,60,attempt,492822,41,true,2635,27,DA
2840,2026-08-18 18:01:58.809909+00,80,attempt,492823,42,true,2715,28,DA
2841,2026-08-18 18:02:57.26609+00,30,attempt,492826,75,true,2745,28,
2842,2026-08-18 18:03:16.51615+00,80,attempt,492827,76,true,2825,29,DA
2843,2026-08-18 18:03:51.827832+00,20,attempt,492828,7,true,2845,29,
2844,2026-08-18 18:04:11.476506+00,20,attempt,492829,8,true,2865,29,
2845,2026-08-18 18:04:30.918135+00,40,attempt,492830,9,true,2905,30,DA
2846,2026-08-18 18:04:50.53165+00,20,attempt,492831,13,false,2925,30,
2847,2026-08-18 18:05:11.128497+00,30,attempt,492832,13,true,2955,30,
2848,2026-08-18 18:05:32.37979+00,30,attempt,492833,14,false,2985,30,
2849,2026-08-18 18:05:51.053137+00,23,attempt,492834,14,false,3008,31,DA
2850,2026-08-18 18:06:11.622543+00,30,attempt,492835,14,true,3038,31,
2851,2026-08-18 18:06:31.342604+00,60,attempt,492836,37,true,3098,31,
2852,2026-08-18 18:06:51.035466+00,80,attempt,492837,38,true,3178,32,DA
2853,2026-08-18 18:07:10.747286+00,20,attempt,492838,20,true,3198,32,
2854,2026-08-18 18:07:32.299182+00,40,attempt,492839,21,true,3238,33,DA
2855,2026-08-18 18:08:10.593051+00,45,attempt,492841,22,true,3283,33,
2856,2026-08-18 18:08:50.867996+00,60,attempt,492843,23,true,3343,34,DA
2857,2026-08-18 18:09:10.589696+00,60,attempt,492844,26,true,3403,35,DA
2858,2026-08-18 18:09:50.940639+00,45,attempt,492846,46,true,3448,35,
2859,2026-08-18 18:10:29.589592+00,60,attempt,492848,47,true,3508,36,DA
2860,2026-08-18 18:10:51.529897+00,80,attempt,492849,50,true,3588,36,
2861,2026-08-18 18:11:11.397851+00,100,attempt,492850,43,true,3688,37,DA
