redni,zadatak,koncept,error_type,trajanje_ms,valjano
1,15,select_basic,correct,197,da
2,16,select_basic,correct,199,da
3,44,inner_join,correct,184,da
4,39,cross_join,row_mismatch,248,da
5,39,cross_join,correct,206,da
6,17,where_filter,empty_result,219,da
7,17,where_filter,correct,194,da
8,18,where_filter,empty_result,201,da
9,18,where_filter,correct,196,da
10,19,where_filter,empty_result,224,da
11,19,where_filter,correct,217,da
12,68,update,correct,224,da
13,63,delete,correct,190,da
14,77,scalar_subquery,correct,207,da
15,1,null_handling,correct,195,da
16,10,limit_offset,correct,203,da
17,5,distinct,correct,192,da
18,6,distinct,correct,196,da
19,45,inner_join,correct,256,da
20,84,right_join,correct,195,da
21,30,group_by,execution_error,192,da
22,30,group_by,correct,205,da
23,57,self_join,wrong_columns,199,da
24,57,self_join,correct,190,da
25,51,multi_table_join,correct,195,da
26,31,group_by,execution_error,266,da
27,31,group_by,correct,193,da
28,32,group_by,execution_error,203,da
29,11,limit_offset,correct,254,da
30,32,group_by,correct,249,da
31,33,group_by,execution_error,227,da
32,33,group_by,correct,284,da
33,34,group_by,execution_error,249,da
34,34,group_by,row_mismatch,235,da
35,34,group_by,correct,236,da
36,56,right_join,correct,222,da
37,35,having_filter,row_mismatch,263,da
38,35,having_filter,correct,234,da
39,24,agg_min_max,correct,234,da
40,36,having_filter,correct,218,da
41,27,agg_sum_avg,wrong_columns,214,da
42,27,agg_sum_avg,correct,211,da
43,28,agg_sum_avg,execution_error,217,da
44,28,agg_sum_avg,execution_error,237,da
45,28,agg_sum_avg,correct,256,da
46,12,limit_offset,correct,221,da
47,29,agg_sum_avg,correct,260,da
48,3784,explain_plan,plan_mismatch,260,da
49,3784,explain_plan,correct,262,da
50,25,agg_min_max,correct,222,da
51,40,cross_join,wrong_columns,233,da
52,40,cross_join,correct,206,da
53,58,self_join,row_mismatch,234,da
54,58,self_join,execution_error,227,da
55,58,self_join,correct,234,da
56,59,self_join,correct,233,da
57,67,insert,empty_result,225,da
58,67,insert,correct,219,da
59,85,insert,correct,227,da
60,69,update,row_mismatch,222,da
61,69,update,empty_result,261,da
62,69,update,correct,206,da
63,70,update,correct,213,da
64,64,delete,correct,222,da
65,78,scalar_subquery,correct,241,da
66,72,exists_subquery,correct,312,da
67,73,exists_subquery,correct,246,da
68,48,left_join,wrong_columns,228,da
69,48,left_join,correct,222,da
70,74,in_subquery,correct,220,da
71,49,left_join,wrong_columns,239,da
72,49,left_join,wrong_columns,231,da
73,49,left_join,correct,224,da
74,3785,explain_plan,correct,250,da
75,81,index_usage,explain_submitted,202,da
76,81,index_usage,correct,254,da
77,3782,index_usage,plan_mismatch,258,da
78,3782,index_usage,correct,244,da
79,3783,index_usage,explain_submitted,198,da
80,3783,index_usage,correct,309,da
81,2,null_handling,correct,252,da
82,41,full_outer_join,correct,283,da
83,42,full_outer_join,correct,233,da
84,75,in_subquery,wrong_columns,230,da
85,75,in_subquery,wrong_columns,203,da
86,75,in_subquery,correct,201,da
87,76,in_subquery,correct,263,da
88,7,from_clause,correct,203,da
89,8,from_clause,correct,214,da
90,9,from_clause,correct,216,da
91,13,order_by,row_mismatch,224,da
92,13,order_by,correct,1058,da
93,14,order_by,row_mismatch,244,da
94,14,order_by,row_mismatch,236,da
95,14,order_by,correct,250,da
96,37,having_filter,correct,247,da
97,38,having_filter,correct,239,da
98,20,agg_count,correct,237,da
99,21,agg_count,correct,229,da
100,22,agg_count,wrong_columns,238,da
101,22,agg_count,correct,216,da
102,23,agg_count,execution_error,244,da
103,23,agg_count,correct,245,da
104,26,agg_min_max,correct,252,da
105,46,inner_join,wrong_columns,-1628,ne
106,46,inner_join,correct,216,da
107,47,inner_join,wrong_columns,277,da
108,47,inner_join,correct,214,da
109,50,left_join,correct,252,da
110,43,full_outer_join,correct,226,da
111,52,multi_table_join,timeout,5331,da
112,52,multi_table_join,correct,223,da
113,53,multi_table_join,correct,255,da
114,54,multi_table_join,correct,237,da
115,55,multi_table_join,wrong_columns,254,da
116,55,multi_table_join,correct,227,da
117,71,update,correct,252,da
118,65,delete,correct,229,da
119,66,delete,correct,220,da
120,60,correlated_subquery,correct,223,da
121,61,correlated_subquery,correct,221,da
122,62,correlated_subquery,row_mismatch,265,da
123,62,correlated_subquery,correct,210,da
124,3,null_handling,correct,229,da
125,4,null_handling,wrong_columns,245,da
126,4,null_handling,wrong_columns,233,da
127,4,null_handling,correct,211,da
128,3786,column_alias,correct,238,da
129,3787,column_alias,correct,299,da
130,3788,column_alias,correct,221,da
