vrijeme,vrsta,poruka,podaci
2026-08-18T15:57:47.624Z,racun,registriran Maks <maks@example.com>,
2026-08-18T15:57:48.729Z,kadar,"04 = krupni plan kartice preporuke na Dashboardu; ruta /task nema vlastiti sadržaj (preusmjerava), pa je njezin jedini kadar prazan skeleton",
2026-08-18T15:58:04.867Z,cache,"/next-task poslužen iz predmemorije — ishod očitan s ekrana, reason nepoznat","{""url"": ""http://localhost:5173/task/15""}"
2026-08-18T15:58:05.902Z,bedz,otključan bedž: first_correct,"{""task_id"": 15, ""xp"": 30}"
2026-08-18T15:58:06.622Z,level,novi level 2,"{""xp"": 110, ""task_id"": 44}"
2026-08-18T15:58:11.411Z,level,novi level 3,"{""xp"": 205, ""task_id"": 18}"
2026-08-18T16:08:39.592Z,nastavak,nastavljam prolaz za Maks,"{""gotovih"": 8}"
2026-08-18T16:08:48.776Z,level,novi level 4,"{""xp"": 330, ""task_id"": 63}"
2026-08-18T16:09:05.553Z,level,novi level 5,"{""xp"": 410, ""task_id"": 10}"
2026-08-18T16:09:23.715Z,level,novi level 6,"{""xp"": 530, ""task_id"": 45}"
2026-08-18T16:09:52.740Z,level,novi level 7,"{""xp"": 630, ""task_id"": 57}"
2026-08-18T16:10:08.838Z,level,novi level 8,"{""xp"": 720, ""task_id"": 31}"
2026-08-18T16:28:15.579Z,nastavak,nastavljam prolaz za Maks,"{""gotovih"": 20}"
2026-08-18T16:28:27.265Z,nastavak_zadatka,zadatak 32: 1 predaja već u bazi — nastavljam od 2.,
2026-08-18T16:28:33.239Z,level,novi level 9,"{""xp"": 805, ""task_id"": 32}"
2026-08-18T17:44:18.874Z,nastavak,nastavljam prolaz za Maks,"{""gotovih"": 22}"
2026-08-18T17:44:36.066Z,cache,"/next-task poslužen iz predmemorije — ishod očitan s ekrana, reason nepoznat","{""url"": ""http://localhost:5173/task/33""}"
2026-08-18T17:44:36.068Z,nastavak_zadatka,zadatak 33: 1 predaja već u bazi — nastavljam od 2.,
2026-08-18T17:45:53.591Z,level,novi level 10,"{""xp"": 920, ""task_id"": 34}"
2026-08-18T17:46:32.094Z,level,novi level 11,"{""xp"": 1000, ""task_id"": 35}"
2026-08-18T17:47:35.025Z,level,novi level 12,"{""xp"": 1110, ""task_id"": 36}"
2026-08-18T17:49:32.479Z,level,novi level 13,"{""xp"": 1230, ""task_id"": 12}"
2026-08-18T17:49:51.710Z,level,novi level 14,"{""xp"": 1310, ""task_id"": 29}"
2026-08-18T17:50:13.004Z,bedz,otključan bedž: explorer,"{""task_id"": 3784, ""xp"": 1350}"
2026-08-18T17:50:54.737Z,level,novi level 15,"{""xp"": 1435, ""task_id"": 25}"
2026-08-18T17:51:53.899Z,level,novi level 16,"{""xp"": 1520, ""task_id"": 58}"
2026-08-18T17:52:52.578Z,level,novi level 17,"{""xp"": 1660, ""task_id"": 59}"
2026-08-18T17:53:51.515Z,level,novi level 18,"{""xp"": 1750, ""task_id"": 85}"
2026-08-18T17:54:49.970Z,level,novi level 19,"{""xp"": 1810, ""task_id"": 69}"
2026-08-18T17:55:28.208Z,level,novi level 20,"{""xp"": 1930, ""task_id"": 64}"
2026-08-18T17:56:08.518Z,level,novi level 21,"{""xp"": 2030, ""task_id"": 72}"
2026-08-18T17:56:24.662Z,cache,"/next-task poslužen iz predmemorije — ishod očitan s ekrana, reason nepoznat","{""url"": ""http://localhost:5173/task/73""}"
2026-08-18T17:56:45.241Z,bedz,otključan bedž: null_ninja,"{""task_id"": 73, ""xp"": 2135}"
2026-08-18T17:56:45.242Z,level,novi level 22,"{""xp"": 2135, ""task_id"": 73}"
2026-08-18T17:57:44.171Z,level,novi level 23,"{""xp"": 2205, ""task_id"": 74}"
2026-08-18T17:59:01.651Z,level,novi level 24,"{""xp"": 2315, ""task_id"": 3785}"
2026-08-18T18:00:19.501Z,level,novi level 25,"{""xp"": 2405, ""task_id"": 3782}"
2026-08-18T18:01:18.662Z,bedz,otključan bedž: join_master,"{""task_id"": 2, ""xp"": 2575}"
2026-08-18T18:01:18.665Z,level,novi level 26,"{""xp"": 2575, ""task_id"": 2}"
2026-08-18T18:01:37.962Z,level,novi level 27,"{""xp"": 2635, ""task_id"": 41}"
2026-08-18T18:01:58.965Z,level,novi level 28,"{""xp"": 2715, ""task_id"": 42}"
2026-08-18T18:03:16.671Z,level,novi level 29,"{""xp"": 2825, ""task_id"": 76}"
2026-08-18T18:03:16.714Z,preporuka_ponavlja,CTA nudi već obrađen zadatak 39 (reason: repeat_practice),"{""uzastopno"": 1}"
2026-08-18T18:03:16.928Z,preporuka_ponavlja,preporuka vodi na već obrađen zadatak 39 (reason: repeat_practice),"{""uzastopno"": 2}"
2026-08-18T18:03:30.127Z,cache,"/next-task poslužen iz predmemorije — ishod očitan s ekrana, reason nepoznat","{""url"": ""http://localhost:5173/task/39""}"
2026-08-18T18:03:30.129Z,preporuka_ponavlja,preporuka vodi na već obrađen zadatak 39 (reason: null),"{""uzastopno"": 3}"
2026-08-18T18:03:30.137Z,preporucivac_stao,tri uzastopne preporuke vode na već obrađene zadatke (reason: null) — prelazim na klik po konceptu u Modulima,"{""rijeseno"": 57, ""preostalo"": 31}"
2026-08-18T18:04:31.079Z,level,novi level 30,"{""xp"": 2905, ""task_id"": 9}"
2026-08-18T18:05:51.215Z,level,novi level 31,"{""xp"": 3008, ""task_id"": 14}"
2026-08-18T18:06:51.220Z,level,novi level 32,"{""xp"": 3178, ""task_id"": 38}"
2026-08-18T18:07:32.448Z,level,novi level 33,"{""xp"": 3238, ""task_id"": 21}"
2026-08-18T18:08:51.022Z,level,novi level 34,"{""xp"": 3343, ""task_id"": 23}"
2026-08-18T18:09:10.753Z,level,novi level 35,"{""xp"": 3403, ""task_id"": 26}"
2026-08-18T18:10:29.728Z,level,novi level 36,"{""xp"": 3508, ""task_id"": 47}"
2026-08-18T18:11:11.542Z,level,novi level 37,"{""xp"": 3688, ""task_id"": 43}"
2026-08-18T18:11:55.220Z,level,novi level 38,"{""xp"": 3733, ""task_id"": 52}"
2026-08-18T18:12:17.247Z,level,novi level 39,"{""xp"": 3813, ""task_id"": 53}"
2026-08-18T18:13:18.937Z,level,novi level 40,"{""xp"": 3968, ""task_id"": 55}"
2026-08-18T18:13:40.540Z,level,novi level 41,"{""xp"": 4048, ""task_id"": 71}"
2026-08-18T18:14:01.087Z,level,novi level 42,"{""xp"": 4108, ""task_id"": 65}"
2026-08-18T18:14:41.249Z,level,novi level 43,"{""xp"": 4248, ""task_id"": 60}"
2026-08-18T18:15:02.941Z,level,novi level 44,"{""xp"": 4328, ""task_id"": 61}"
2026-08-18T18:15:46.366Z,level,novi level 45,"{""xp"": 4453, ""task_id"": 62}"
2026-08-18T18:15:46.585Z,modul_bez_kartice,nema kartice za modul 0,
2026-08-18T18:15:46.745Z,modul_bez_kartice,nema kartice za modul 0,
2026-08-18T18:19:50.539Z,nastavak,nastavljam prolaz za Maks,"{""gotovih"": 83}"
2026-08-18T18:20:17.618Z,level,novi level 46,"{""xp"": 4513, ""task_id"": 3}"
2026-08-18T18:22:01.284Z,level,novi level 47,"{""xp"": 4613, ""task_id"": 3787}"
2026-08-18T18:25:57.627Z,nastavak,nastavljam prolaz za Maks,"{""gotovih"": 88}"
